artist_name,total_plays,total_minutes,skip_rate,loyalty_score
Sooranna,11,17.879316666666668,0.6363636363636364,4.0
Soujanya Bhagavatula,1,0.5021666666666667,1.0,0.0
Soulja Boy,63,79.24146666666667,0.3492063492063492,41.0
Soulone Beats,3,6.011083333333333,0.3333333333333333,2.0
Souumil,1,0.0725833333333333,1.0,0.0
Souumil Shringarpure,29,18.59745,0.8620689655172413,4.000000000000002
Space Invader,1,0.77375,0.0,1.0
Sreenidhi,2,0.6497499999999999,1.0,0.0
Sreenidhi Tirumala,1,0.0355166666666666,1.0,0.0
Sreenivos,1,0.2948333333333333,1.0,0.0
Sri Krishna,1,0.4021,1.0,0.0
Sricharan Pakala,119,319.79668333333336,0.226890756302521,92.0
Srinidhi Venkatesh,1,0.26645,1.0,0.0
Srinivas,40,60.218999999999994,0.75,10.0
Sriram Parthasarathy,2,0.23889999999999992,1.0,0.0
Srushti Tawade,1,1.1389333333333334,0.0,1.0
Stan & Sam,1,1.3093,1.0,0.0
StarBoi3,37,71.32948333333333,0.43243243243243246,21.0
Starla Edney,1,1.0964833333333333,1.0,0.0
Stavya Kaila,31,24.137516666666667,0.8709677419354839,4.0
Steelix NEW,13,14.026466666666666,0.7692307692307693,2.9999999999999996
Stephen Sanchez,1,1.75495,1.0,0.0
Steve Aoki,21,47.099916666666665,0.2857142857142857,15.0
Stileto,58,129.23463333333333,0.1724137931034483,48.0
Stray Kids,480,881.88005,0.4041666666666667,286.0
Su-Zuum,2,3.9545333333333335,0.0,2.0
Suave Lee,1,1.9388333333333332,1.0,0.0
Sub Urban,85,195.52348333333333,0.23529411764705882,65.0
Suchitra,63,170.28171666666668,0.36507936507936506,40.0
Suga,1,0.127,1.0,0.0
Sukhwinder Singh,70,174.48781666666667,0.6285714285714286,26.0
Sultaan,1,1.49375,1.0,0.0
Suman Sridhar,3,9.895700000000001,0.0,3.0
Sumangaly,1,0.6212333333333333,1.0,0.0
Summer Walker,2,6.648,0.0,2.0
Sunder Chandran,52,132.48866666666666,0.11538461538461539,46.0
Suneetha,1,0.6240166666666667,1.0,0.0
Sunitha,1,0.6481333333333333,1.0,0.0
"Sunitha, Suzanne",1,1.28325,1.0,0.0
SuperM,4,12.382100000000001,0.25,3.0
Suriel Hess,1,3.0113,0.0,1.0
Swae Lee,1,0.0270333333333333,1.0,0.0
Swarnalatha,1,0.2023333333333333,1.0,0.0
TAEYANG,29,71.69468333333333,0.13793103448275862,25.0
THE ANXIETY,7,9.933383333333332,0.42857142857142855,4.0
TOBACCO,28,47.108216666666664,0.42857142857142855,16.0
TOMORROW X TOGETHER,1497,3416.2080499999997,0.2859051436205745,1069.0
TXKUMOON,28,51.13405,0.4642857142857143,15.0
Taaruk Raina,54,82.99243333333334,0.5740740740740741,23.0
Tai Verdes,1,0.5032833333333333,0.0,1.0
Taimour Baig,6,14.715283333333334,0.3333333333333333,4.0
Taio Cruz,1,0.0128666666666666,1.0,0.0
Talha Anjum,135,356.47198333333336,0.4,81.0
Tanishk Bagchi,60,109.76061666666666,0.5333333333333333,28.0
Tate McRae,186,456.10656666666665,0.15591397849462366,157.0
Taylor Swift,725,1808.9273333333333,0.32,492.99999999999994
